,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,5977000000.0,7288000000.0,18682000000.0,26378000000.0,
Repayment Of Debt,-3859000000.0,-4083000000.0,-4240000000.0,-1616000000.0,
Issuance Of Debt,5915000000.0,0.0,0.0,0.0,
Capital Expenditure,-13994000000.0,-12177000000.0,-10575000000.0,-8758000000.0,
End Cash Position,5036000000.0,5903000000.0,8070000000.0,15579000000.0,
Beginning Cash Position,5903000000.0,8070000000.0,9451000000.0,13987000000.0,
Effect Of Exchange Rate Changes,284000000.0,-359000000.0,-87000000.0,-2268000000.0,
Changes In Cash,-1151000000.0,-1808000000.0,-1294000000.0,3860000000.0,
Financing Cash Flow,-11526000000.0,-17741000000.0,-18142000000.0,-15414000000.0,
Cash Flow From Continuing Financing Activities,-11526000000.0,-17741000000.0,-18142000000.0,-15413000000.0,
Net Other Financing Charges,,,,-1000000.0,
Cash Dividends Paid,-4791000000.0,-8578000000.0,-10906000000.0,-5380000000.0,
Common Stock Dividend Paid,-4791000000.0,-8578000000.0,-10906000000.0,-5380000000.0,
Net Common Stock Issuance,-5916000000.0,-6013000000.0,-5589000000.0,-3315000000.0,
Common Stock Payments,-5916000000.0,-6013000000.0,-5589000000.0,-3315000000.0,
Net Issuance Payments Of Debt,-819000000.0,-3150000000.0,-1647000000.0,-6718000000.0,
Net Short Term Debt Issuance,-2875000000.0,933000000.0,2593000000.0,-5102000000.0,
Net Long Term Debt Issuance,2056000000.0,-4083000000.0,-4240000000.0,-1616000000.0,
Long Term Debt Payments,-3859000000.0,-4083000000.0,-4240000000.0,-1616000000.0,
Long Term Debt Issuance,5915000000.0,0.0,0.0,0.0,
Investing Cash Flow,-9596000000.0,-3532000000.0,-12409000000.0,-15863000000.0,
Cash Flow From Continuing Investing Activities,-9596000000.0,-3533000000.0,-12408000000.0,-15863000000.0,
Net Other Investing Changes,114000000.0,-622000000.0,-88000000.0,943000000.0,
Net Investment Purchase And Sale,1854000000.0,9507000000.0,-823000000.0,-8195000000.0,
Net Business Purchase And Sale,2430000000.0,-240000000.0,-923000000.0,147000000.0,
Sale Of Business,2456000000.0,1470000000.0,272000000.0,147000000.0,
Purchase Of Business,-26000000.0,-1710000000.0,-1195000000.0,,-111000000.0
Capital Expenditure Reported,-13994000000.0,-12177000000.0,-10575000000.0,-8758000000.0,
Operating Cash Flow,19971000000.0,19465000000.0,29257000000.0,35136000000.0,
Cash Flow From Continuing Operating Activities,19972000000.0,19464000000.0,29259000000.0,35136000000.0,
Taxes Refund Paid,-20460000000.0,-20592000000.0,-28276000000.0,-43856000000.0,
Interest Received Cfo,1221000000.0,1841000000.0,1710000000.0,399000000.0,
Interest Paid Cfo,-665000000.0,-891000000.0,-1042000000.0,-747000000.0,
Change In Working Capital,1992000000.0,2218000000.0,4960000000.0,-4616000000.0,
Other Non Cash Items,-59000000.0,-2334000000.0,-1315000000.0,468000000.0,
Asset Impairment Charge,,,-53000000.0,342000000.0,171000000.0
Depreciation Amortization Depletion,12473000000.0,9906000000.0,10581000000.0,6733000000.0,
Depreciation And Amortization,12473000000.0,9906000000.0,10581000000.0,6733000000.0,
Depreciation,12473000000.0,9906000000.0,10581000000.0,6733000000.0,
Operating Gains Losses,381000000.0,-1669000000.0,4755000000.0,-1849000000.0,
Gain Loss On Investment Securities,533000000.0,-731000000.0,5599000000.0,1062000000.0,
Net Foreign Currency Exchange Gain Loss,135000000.0,-166000000.0,-852000000.0,-2088000000.0,
Net Income From Continuing Operations,25088000000.0,30986000000.0,37884000000.0,78604000000.0,
