,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,30140000,-35420000,339680000,9240000
Tax Rate For Calcs,0.22,0.22,0.22,0.22
Normalized EBITDA,38256000000,42110000000,48043000000,86224000000
Total Unusual Items,137000000,-161000000,1544000000,42000000
Total Unusual Items Excluding Goodwill,137000000,-161000000,1544000000,42000000
Net Income From Continuing Operation Net Minority Interest,5043000000,8806000000,11885000000,28746000000
Reconciled Depreciation,12473000000,9906000000,10581000000,6733000000
Reconciled Cost Of Revenue,67482000000,59875000000,58809000000,60197000000
EBITDA,38393000000,41949000000,49587000000,86266000000
EBIT,25920000000,32043000000,39006000000,79533000000
Net Interest Income,203000000,744000000,1109000000,200000000
Interest Expense,832000000,1057000000,1122000000,929000000
Interest Income,1035000000,1801000000,2231000000,1129000000
Normalized Income,4936140000,8931580000,10680680000,28713240000
Net Income From Continuing And Discontinued Operation,5043000000,8806000000,11885000000,28746000000
Total Expenses,81098000000,72148000000,71615000000,71263000000
Total Operating Income As Reported,25352000000,30927000000,35770000000,78811000000
Diluted Average Shares,2601000000,2827000000,3027000000,3182000000
Basic Average Shares,2593000000,2821000000,3021000000,3173000000
Diluted EPS,1.94,3.11,3.93,9.03
Basic EPS,1.94,3.12,3.93,9.06
Diluted NI Availto Com Stockholders,5043000000,8806000000,11885000000,28746000000
Net Income Common Stockholders,5043000000,8806000000,11885000000,28746000000
Net Income,5043000000,8806000000,11885000000,28746000000
Minority Interests,-15000000,-23000000,-19000000,3000000
Net Income Including Noncontrolling Interests,5058000000,8829000000,11904000000,28744000000
Net Income Continuous Operations,5058000000,8829000000,11904000000,28744000000
Tax Provision,20030000000,22157000000,25980000000,49861000000
Pretax Income,25088000000,30986000000,37884000000,78604000000
Other Income Expense,155000000,-112000000,1543000000,662000000
Earnings From Equity Interest,18000000,49000000,-1000000,620000000
Gain On Sale Of Security,137000000,-161000000,1544000000,42000000
Net Non Operating Interest Income Expense,203000000,744000000,1109000000,200000000
Interest Expense Non Operating,832000000,1057000000,1122000000,929000000
Interest Income Non Operating,1035000000,1801000000,2231000000,1129000000
Operating Income,1389000000,30354000000,35233000000,77741000000
Operating Expense,13616000000,12273000000,12806000000,11066000000
Other Operating Expenses,12409000000,11018000000,11588000000,10080000000
Selling General And Administration,1207000000,1255000000,1218000000,986000000
Gross Profit,38346000000,42627000000,48039000000,88807000000
Cost Of Revenue,67482000000,59875000000,58809000000,60197000000
Total Revenue,105828000000,102502000000,106848000000,149004000000
Operating Revenue,105242000000,101298000000,106132000000,150262000000
