,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,3710000000.0,1700000000.0,442000000.0,-627000000.0
Repurchase Of Capital Stock,-3316000000.0,-43000000.0,0.0,
Capital Expenditure,-1277000000.0,-883000000.0,-744000000.0,-513000000.0
Interest Paid Supplemental Data,53000000.0,74000000.0,83000000.0,77000000.0
End Cash Position,8848000000.0,8205000000.0,1551000000.0,2067000000.0
Other Cash Adjustment Outside Changein Cash,-2000000.0,603000000.0,-582000000.0,-21000000.0
Beginning Cash Position,8205000000.0,1551000000.0,2067000000.0,1800000000.0
Effect Of Exchange Rate Changes,224000000.0,-147000000.0,22000000.0,-87000000.0
Changes In Cash,421000000.0,6198000000.0,44000000.0,375000000.0
Financing Cash Flow,-3813000000.0,3652000000.0,-408000000.0,811000000.0
Cash Flow From Continuing Financing Activities,-3812000000.0,3652000000.0,-408000000.0,811000000.0
Net Other Financing Charges,-222000000.0,3718000000.0,-424000000.0,796000000.0
Cash Dividends Paid,-275000000.0,0.0,0.0,
Common Stock Dividend Paid,-275000000.0,0.0,0.0,
Net Common Stock Issuance,-3316000000.0,-43000000.0,0.0,
Common Stock Payments,-3316000000.0,-43000000.0,0.0,
Net Issuance Payments Of Debt,0.0,-23000000.0,16000000.0,15000000.0
Net Short Term Debt Issuance,0.0,-23000000.0,16000000.0,15000000.0
Investing Cash Flow,-755000000.0,-37000000.0,-734000000.0,-322000000.0
Cash Flow From Continuing Investing Activities,-754000000.0,-37000000.0,-734000000.0,-322000000.0
Net Other Investing Changes,46000000.0,-122000000.0,-199000000.0,191000000.0
Net Business Purchase And Sale,437000000.0,943000000.0,149000000.0,-53000000.0
Sale Of Business,524000000.0,1057000000.0,232000000.0,340000000.0
Purchase Of Business,-87000000.0,-114000000.0,-83000000.0,-393000000.0
Net PPE Purchase And Sale,-1238000000.0,-858000000.0,-684000000.0,-460000000.0
Sale Of PPE,39000000.0,25000000.0,60000000.0,53000000.0
Purchase Of PPE,-1277000000.0,-883000000.0,-744000000.0,-513000000.0
Operating Cash Flow,4987000000.0,2583000000.0,1186000000.0,-114000000.0
Cash Flow From Continuing Operating Activities,4988000000.0,2582000000.0,1186000000.0,-114000000.0
Change In Working Capital,4097000000.0,1119000000.0,1130000000.0,579000000.0
Change In Other Working Capital,8019000000.0,2799000000.0,2812000000.0,1282000000.0
Change In Payables And Accrued Expense,-105000000.0,667000000.0,-716000000.0,767000000.0
Change In Payable,-105000000.0,667000000.0,-716000000.0,767000000.0
Change In Account Payable,-105000000.0,667000000.0,-716000000.0,643000000.0
Change In Inventory,-1433000000.0,-641000000.0,-240000000.0,-949000000.0
Change In Receivables,-2384000000.0,-1706000000.0,-726000000.0,-521000000.0
Changes In Account Receivables,-1928000000.0,-1297000000.0,-839000000.0,-870000000.0
Other Non Cash Items,-1373000000.0,-917000000.0,-58000000.0,281000000.0
Deferred Tax,-2881000000.0,316000000.0,342000000.0,157000000.0
Deferred Income Tax,-2881000000.0,316000000.0,342000000.0,157000000.0
Depreciation Amortization Depletion,853000000.0,1172000000.0,964000000.0,1797000000.0
Depreciation And Amortization,853000000.0,1172000000.0,964000000.0,1797000000.0
Amortization Cash Flow,238000000.0,277000000.0,240000000.0,1018000000.0
Amortization Of Intangibles,238000000.0,277000000.0,240000000.0,1018000000.0
Depreciation,615000000.0,895000000.0,724000000.0,779000000.0
Operating Gains Losses,-588000000.0,-666000000.0,-718000000.0,-206000000.0
Pension And Employee Benefit Expense,-588000000.0,-666000000.0,-718000000.0,-206000000.0
Gain Loss On Sale Of Business,,-1147000000.0,-209000000.0,-21000000.0
Net Income From Continuing Operations,4879000000.0,1559000000.0,-474000000.0,-2722000000.0
