,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,35910000,429392000,38640000,14490000,
Tax Rate For Calcs,0.21,0.376,0.21,0.21,
Normalized EBITDA,2071000000,501000000,748000000,-595000000,
Total Unusual Items,171000000,1142000000,184000000,69000000,
Total Unusual Items Excluding Goodwill,171000000,1142000000,184000000,69000000,
Net Income From Continuing Operation Net Minority Interest,4884000000,1552000000,-438000000,-2736000000,
Reconciled Depreciation,853000000,1172000000,964000000,1797000000,
Reconciled Cost Of Revenue,30533000000,28850000000,28421000000,26196000000,
EBITDA,2242000000,1643000000,932000000,-526000000,
EBIT,1389000000,471000000,-32000000,-2323000000,
Net Interest Income,455000000,186000000,-35000000,-109000000,
Interest Expense,,,98000000,151000000,172000000
Interest Income,455000000,186000000,63000000,42000000,
Normalized Income,4748910000,839392000,-583360000,-2790510000,
Net Income From Continuing And Discontinued Operation,4884000000,1552000000,-438000000,-2736000000,
Total Expenses,36679000000,34464000000,34162000000,32535000000,
Total Operating Income As Reported,1388000000,471000000,-923000000,-2881000000,
Diluted Average Shares,276000000,278000000,274085523,272083576,
Basic Average Shares,272000000,275000000,274085523,272083576,
Diluted EPS,17.69,5.58,-1.598041,-10.055734,
Basic EPS,17.955882,5.65,-1.598041,-10.055734,
Diluted NI Availto Com Stockholders,4884000000,1552000000,-438000000,-2736000000,
Net Income Common Stockholders,4884000000,1552000000,-438000000,-2736000000,
Net Income,4884000000,1552000000,-438000000,-2736000000,
Minority Interests,4000000,-7000000,36000000,-14000000,
Net Income Including Noncontrolling Interests,4879000000,1559000000,-474000000,-2722000000,
Net Income Continuous Operations,4879000000,1559000000,-474000000,-2722000000,
Tax Provision,-2051000000,939000000,344000000,248000000,
Pretax Income,2828000000,2498000000,-130000000,-2474000000,
Other Income Expense,984000000,1841000000,828000000,516000000,
Other Non Operating Income Expenses,544000000,646000000,708000000,387000000,
Special Income Charges,185000000,1147000000,209000000,22000000,
Gain On Sale Of Business,,,,22000000,-123000000
Restructuring And Mergern Acquisition,-185000000,-1147000000,-209000000,-22000000,
Earnings From Equity Interest,269000000,53000000,-64000000,60000000,
Gain On Sale Of Security,-14000000,-5000000,-25000000,47000000,
Net Non Operating Interest Income Expense,455000000,186000000,-35000000,-109000000,
Interest Expense Non Operating,,,98000000,151000000,172000000
Interest Income Non Operating,455000000,186000000,63000000,42000000,
Operating Income,1389000000,471000000,-923000000,-2881000000,
Operating Expense,6146000000,5614000000,5741000000,6339000000,
Research And Development,1197000000,982000000,896000000,979000000,
Selling General And Administration,4949000000,4632000000,4845000000,5360000000,
Gross Profit,7535000000,6085000000,4818000000,3458000000,
Cost Of Revenue,30533000000,28850000000,28421000000,26196000000,
Total Revenue,38068000000,34935000000,33239000000,29654000000,
Operating Revenue,38068000000,34935000000,33239000000,29654000000,
